검색조건
대출기간,2026-01-01 ~ 2026-07-03
성별,전체
연령,유아(6~7세)
지역,전체
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-07-04
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","오싹오싹 크레용! ","글: 에런 레이놀즈 ;옮김: 홍연미","토토북","2022","","9788964964767","77840","843","720",
"2","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","1","9788936447694","74810","813.7","711",
"3","건전지 할머니 :강인숙·전승배 그림책 ","지은이: 강인숙,전승배","창비","2025","","9788936429454","77810","813.7","710",
"4","수박 수영장 :안녕달 그림책 ","지은이: 안녕달","창비","2015","","9788936446819","77810","813.7","703",
"5","호랭떡집 ","글·그림: 서현","사계절(사계절출판사)","2023","","9791169811163","77810","813.7","695",
"6","건전지 엄마 :강인숙·전승배 그림책 ","지은이: 강인숙,전승배","창비","2023","","9788936429010","77810","813.7","662",
"7","오싹오싹 팬티! ","글: 에런 레이놀즈 ;옮김: 홍연미","토토북","2018","","9788964963678","77840","843","654",
"8","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","1","9791164131686","77810","810","642",
"9","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","2","9791164132454","77810","810","625",
"10","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","8","9791164138197","77810","810","614",
"11","늪 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2024","","9788966351985","74830","833.6","611",
"12","친구 자판기 ","글·그림: 조경희","노란돼지","2025","","9791159955167","77810","813.7","589",
"13","이파라파냐무냐무 :이지은 그림책 ","글·그림: 이지은","사계절(사계절출판사)","2020","","9791160946673","77810","813.7","588",
"14","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","3","9791164134267","77810","810","576",
"15","브로콜리지만 사랑받고 싶어 ","별다름,서영 그림","키다리","2021","","9791157855506","77810","813.7","574",
"15","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","10","9791168415539","77490","472","574",
"17","건전지 아빠 :전승배·강인숙 그림책 ","지은이: 전승배,강인숙","창비","2021","","9788936455668","77810","813.7","570",
"18","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","6","9791168411029","77490","472","568",
"19","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","7","9791164137527","77810","810","565",
"20","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","2","9788936447861","74810","813.7","564",
"21","당근 할머니 :안녕달 그림책 ","지은이: 안녕달","창비","2024","","9788936429232","77810","813.7","563",
"21","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","4","9791164138425","77490","472","563",
"21","츠츠츠츠 :이지은 그림책 ","글·그림: 이지은","사계절(사계절출판사)","2024","","9791169812085","77810","813.7","563",
"24","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","3","9791164137435","77490","472","562",
"25","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","1","9791164135738","77490","472","557",
"26","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","5","9791164135592","77810","810","556",
"26","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","7","9791168412279","77490","472","556",
"28","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","1","9791190409124","74810","813.7","555",
"29","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","14","9791168416369","77810","810","552",
"30","야옹이 수영 교실 ","신현경 글 ;노예지 그림","인플루엔셜","2023","","9791168341180","77810","813.7","545",
"31","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","10","9791168411685","77810","810","543",
"32","도서관 고양이 ","최지혜 글 ;김소라 그림","한울림","2020","","9791163930334","77810","813.7","542",
"33","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","14","9791173119262","77490","472","541",
"34","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","6","9791164136261","77810","810","539",
"35","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","9","9791164139897","77810","810","538",
"36","태양 왕 수바 :이지은 그림책 ","글·그림: 이지은","웅진씽크빅","2023","","9788901271323","74800","813.7","536",
"37","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","13","9791168415232","77810","810","535",
"38","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","2","9791164136438","77490","472","533",
"39","겨울 이불 :안녕달 그림책 ","지은이: 안녕달","창비","2023","","9788936455965","77810","813.7","529",
"39","더위 타는 감자 할멈 ","홍주연 글·그림","비룡소","2025","","9788949136516","74800","813.7","529",
"39","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","13","9791168418783","77490","472","529",
"42","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","9","9791168415157","77490","472","524",
"42","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","11","9791168416840","77490","472","524",
"44","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","7","9791162339466","74830","833.6","523",
"45","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","4","9791164134847","77810","810","521",
"45","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","16","9791168418011","77810","810","521",
"45","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","17","9791168418844","77810","810","521",
"48","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","15","9791168417199","77810","810","520",
"49","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","3","9788936448011","74810","813.7","518",
"49","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","2","9788937853470","74830","833.6","518",
"51","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","1","9788937838750","74830","833.6","517",
"51","감기 걸린 물고기 :박정섭 그림책 ","글·그림: 박정섭","사계절","2016","","9788958284482","77810","813.7","517",
"51","꽁꽁꽁 캠핑 :윤정주 그림책 ","윤정주","책읽는곰","2023","","9791158364120","77810","813.7","517",
"54","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","5","9791164139750","77490","472","515",
"55","내 맘대로 편의점 :김영진 그림책 ","김영진","책읽는곰","2025","","9791158365578","77810","813.7","514",
"55","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","8","9791168414075","77490","472","514",
"57","거꾸로 토끼끼토 ","보람 글·그림","길벗어린이","2024","","9788955827590","74810","813.7","512",
"57","몽글몽글 편의점 :김영진 그림책 ","김영진","책읽는곰","2024","","9791158364823","77810","813.7","512",
"59","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","3","9788937889714","74830","833.6","509",
"60","당근 유치원 ","지은이: 안녕달","창비","2020","","9788936455484","77810","813.7","508",
"60","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","12","9791168417984","77490","472","508",
"62","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","11","9791168412477","77810","810","503",
"63","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","2","9788934980254","77400","400","498",
"63","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","8","9791164131914","74830","833.6","498",
"65","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","9","9791164134090","74830","833.6","494",
"66","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","10","9791164137053","74830","833.6","492",
"66","용궁 공주와 수박 빙수 :송태고 그림책 ","글·그림: 송태고","노는날","2025","","9791194722106","77810","813.7","492",
"68","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","6","9791162335123","74830","833.6","491",
"69","튤립 호텔 :김지안 그림책 ","지은이: 김지안","창비","2022","","9788936455842","77810","813.7","488",
"70","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","15","9791173476259","77490","472","486",
"71","엄마 자판기 ","글·그림: 조경희","노란돼지","2019","","9791159950681","77810","813.7","485",
"71","해피버쓰데이 =백희나 그림책 /Happy birthday ","백희나","스토리보울","2024","","9791198807281","77810","813.7","485",
"73","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","1","9788934989257","77400","400","484",
"73","별세상 목욕탕 ","글: 김리리 ;그림: 간장","기탄출판","2025","","9791166463501","77810","813.7","484",
"75","변비 탐정 실룩","글쓴이: 이나영 ;그린이: 박소연","인플루엔셜","2025","1","9791168343085","77810","813.7","474",
"76","바다 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2014","","9788966350278","74830","833.6","472",
"76","오싹오싹 편의점 :김영진 그림책 ","지은이: 김영진","책읽는곰","2023","","9791158364083","77810","813.7","472",
"76","개욕탕 ","김유 글 ;소복이 그림","천개의바람","2024","","9791165735043","77810","813.7","472",
"76","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","2","9791190409131","74810","813.7","472",
"80","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","4","9788936448134","74810","813.7","469",
"81","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","4","9788937848247","74830","833.6","468",
"82","바나나 우유 목욕탕 ","강민정 글·그림","김영사","2025","","9791173320910","77810","813.7","467",
"83","100초 목욕탕 ","타타마 글·그림 ;송지현 옮김","김영사","2025","","9791173320903","77830","833.6","464",
"84","별에게 :안녕달 그림책 ","지은이: 안녕달","창비","2025","","9788936429430","77810","813.7","463",
